# chapter	source_id	exact string that must appear in the filing
# Whitespace is normalised on both sides before matching, so line breaks in the
# original filing do not matter. Matching is case-insensitive.
12	kvk-deponeren	binnen 12 maanden na afloop van het boekjaar
12	kvk-deponeren	U kunt geen uitstel krijgen voor het indienen van uw jaarrekening
12	kvk-deponeren	een jaaromzet van minimaal € 7,5 miljoen in 2 opeenvolgende boekjaren
12	kvk-deponeren	moeten alle rechtspersonen (ook grote ondernemingen) hun jaarrekening op basis van Standard Business Reporting (SBR) deponeren
12	bw2-jaarrekening	per 13 maart 2024: € 450.000
12	bw2-jaarrekening	per 13 maart 2024: € 900.000

# --- Chapter 13: Profit Is Not Cash (Instacart S-1 cash flows; BW6 payment terms) ---
13	cart-s1-2023	net cash provided by operating activities was $277 million, which consisted of net income of $428 million, adjusted for certain non-cash items of $275 million
13	cart-s1-2023	net cash provided by operating activities was $99 million, which consisted of net loss of $74 million, adjusted for certain non-cash items of $38 million
13	cart-s1-2023	net cash provided by operating activities was $242 million, which consisted of net income of $242 million
13	cart-s1-2023	$358 million tax benefit from the release of our valuation allowance on our deferred tax assets in the United States
13	cart-s1-2023	primarily due to timing of collection of accounts receivable
13	cart-s1-2023	as a result of timing of vendor payments
13	bw6-2026	vanaf 30 dagen na de aanvang van de dag, volgende op die waarop de schuldenaar de factuur heeft ontvangen
13	bw6-2026	Partijen kunnen een uiterste dag van betaling overeenkomen van ten hoogste 60 dagen
13	bw6-2026	tenzij zij uitdrukkelijk een langere termijn van betaling in de overeenkomst opnemen en deze termijn niet kennelijk onbillijk is jegens de schuldeiser
13	bw6-2026	De termijn bedoeld in lid 2 onder c bedraagt niet meer dan 30 dagen vanaf de datum van ontvangst van de prestatie
13	bw6-2026	Onder overheidsinstantie wordt verstaan de Staat, een provincie, een gemeente
13	bw6-2026	Telkens na afloop van een jaar wordt het bedrag waarover de wettelijke rente wordt berekend, vermeerderd met de over dat jaar verschuldigde rente
# ch13 — the reconciliation arithmetic and the large-to-SME 30-day cap
13	cart-s1-2023	net cash inflows from changes in operating assets and liabilities of $124 million
13	cart-s1-2023	The non-cash items primarily consisted of a deferred tax benefit of $373 million
13	bw6-2026	In afwijking van lid 5 kunnen partijen geen uiterste dag van betaling overeenkomen van meer dan 30 dagen
13	bw6-2026	Een beding in een overeenkomst in strijd met de vorige zin is nietig
13	bw6-2026	Geen wettelijke rente is verschuldigd wanneer de schuldeiser zelf in verzuim is
14	draelos-2026	for seven years (April 2018 to August 2025)
14	draelos-2026	what many consider to be validation milestones: paying customers, patents, and demonstrated clinical impact
14	draelos-2026	saved 11 minutes per visit
14	draelos-2026	We acquired four paying customers
14	draelos-2026	four-figure recurring revenue and five-figure custom development revenue
14	draelos-2026	wanted to pay fewer than $100 per month
14	draelos-2026	the hosting and AI costs for our platform had gone up to about $70 per doctor
14	draelos-2026	a single EHR integration costs around $4,000 to $6,000
14	draelos-2026	it would take 11 years per practice just to break even
14	draelos-2026	one customer through a cold call, one through a cold email, one through a very warm intro
14	wpc-dec-2013	The common thread is that all of these customers have been running blogs, rather than businesses
14	wpc-dec-2013	$69 feels like a big cost
14	wpc-nov-2013	no virality involved. We have to work for every single customer
15	lb-12a	Ten aanzien van de werknemer die arbeid verricht ten behoeve van een lichaam waarin hij of zijn partner een aanmerkelijk belang heeft
15	lb-12a	wordt het in het kalenderjaar van dat lichaam genoten loon ten minste gesteld op het hoogste van de volgende bedragen
15	lb-12a	het loon uit de meest vergelijkbare dienstbetrekking
15	lb-12a	het hoogste loon van de werknemers die in dienst zijn van het lichaam
15	lb-12a	c. € 58.000.
15	lb-12a	Indien de inhoudingsplichtige aannemelijk maakt dat het hoogste bedrag, bedoeld in het eerste lid, hoger is dan het loon uit de meest vergelijkbare dienstbetrekking
15	lb-12a	Het eerste en tweede lid zijn niet van toepassing indien het bij toepassing van het eerste tot en met derde lid vast te stellen loon voor de arbeid in het lichaam
15	lb-12a	niet hoger is dan € 5.000
15	lb-12a	waarbij een aanmerkelijk belang geen rol speelt
15	lb-12a	Het in het eerste lid vermelde bedrag wordt bij het begin van het kalenderjaar bij ministeriële regeling vervangen door een ander
15	bd-gebruikelijk-loon	Bent u werknemer in een vennootschap of coöperatie waarin u een aanmerkelijk belang hebt? Dan geldt voor u de gebruikelijkloonregeling.
15	bd-gebruikelijk-loon	een aanmerkelijkbelanghouder wordt geacht een loon te krijgen dat normaal is voor het niveau en de duur van zijn arbeid
15	bd-gebruikelijk-loon	ten minste € 58.000 in 2026 (in 2025 en 2024 was dat € 56.000)
15	bd-gebruikelijk-loon	De grens van € 5.000 geldt voor het totaal van uw werkzaamheden voor alle vennootschappen of coöperaties waarin u een aanmerkelijk belang hebt.
15	bd-prive-onttrekkingen	Privéonttrekkingen zijn uitgaven die u uit het ondernemingsvermogen hebt betaald voor uzelf
15	bd-prive-onttrekkingen	omdat het geen zakelijke kosten zijn, zijn privéonttrekkingen niet aftrekbaar van uw ondernemingswinst
15	bd-ondernemer-ib	Lang niet iedere ondernemer is ondernemer voor de inkomstenbelasting.
16	pb-5	And the site makes roughly the same amount of money (around $200K) every year.
16	pb-5	the number of active users stays roughly the same
16	pb-5	actually earning enough money to do that
16	pb-5	I haven't received a single email from an investor
16	pb-7	revenue (K) 117 178 181 175 193 160 234
16	pb-7	funding (K) 0 0 0 0 0 0 0
16	pb-7	The site costs something like $17K/year to run, so you can make a good living at this artisanal SaaS stuff.
16	pb-7	no longer afraid of competitors
16	pb-7	one- or zero-person business
16	pb-7	Revenue dropped a bit in 2015 (as I moved to an annual subscription system)
16	pb-8	revenue (K) 117 178 181 175 193 160 234 259
16	pb-8	active users (K) 2.8 16 23 23 24 25 24 29
16	pb-8	All the travel meant I sometimes ignored support emails for weeks at a time
16	pb-8	reverse sabbatical to try to stabilize the site
16	pb-11	revenue (K) 117 178 181 175 193 160 234 259 253 222 212
16	pb-11	active users (K) 2.8 16 23 23 24 25 24 29 21 19
16	pb-11	funding (M) 0 0 0 0 0 0 0 0 0 0 0
17	km-5hours-2010	the peak was the week I launched (50 hours in 8 days)
17	km-5hours-2010	spiked up to as many as 20 hours, and the average over the period is (to my best estimate) about 5 hours
17	km-5hours-2010	I leave the office at 7:30 PM on a very good day
17	km-5hours-2010	hour and a half of commute both ways
17	km-5hours-2010	has made it possible to quit my day job at the end of this month
17	km-5hours-2010	build time assets
17	km-5hours-2010	time debt is anything that you do which will commit you to doing unavoidable work in the future
17	km-5hours-2010	six of Email A, 3 of Email B
17	km-5hours-2010	Recurring tasks are a great thing to systemize and outsource
17	km-5hours-2010	90% of the results of your business, and somewhere around 90% of the effort, are caused by non-coding activities
17	pb-11	moving Pinboard onto modern versions of PHP and MySQL
17	pb-11	Much of the core code on the site dated back to 2009-2010
17	pb-11	Doing this on a live system is like performing kidney transplants on a playing mariachi band
17	pb-11	run a bug-for-bug identical copy of the site on a modern laptop

# ch18 — Gymdesk / Galperin, "How to fire yourself as a founder" (2023). Case hunt in §6i.
18	galperin-2023-fire	I went through growing Gymdesk from a one-person operation to a company with over 10 FTE at that point in time
18	galperin-2023-fire	for the first 5 years of the company
18	galperin-2023-fire	Tasks that would take 15-20 minutes of my day as a side activity, required hours for a dedicated person to complete
18	galperin-2023-fire	I started also documenting all of the knowledge I accumulated for each function of the business
18	galperin-2023-fire	Creating an internal customer service knowledge-base / SOPs, containing verification and debugging flows that are repeatable and can be used immediately by new reps. Reps input a new entry every time they encounter a ticket and we collaboratively document the steps to resolve it.
18	galperin-2023-fire	What I failed to take into consideration was that I can transfer knowledge, but not the intuition and cross functional experience with all aspects of the business that came with years of performing all roles in the company
18	galperin-2023-fire	would take me a couple of minutes to go through and respond
18	galperin-2023-fire	can take close to an hour, and require my participation at each one of those decision points
18	galperin-2023-fire	still a work in progress, and I still feel too embedded in many of the processes

# ch19 — Gymdesk / Galperin, "Building A Fitness Tech Company During COVID" (2023). Case hunt in §6i.
19	galperin-2023-covid	We made our first full time hire in June 2021
19	galperin-2023-covid	hired my first full time customer service person
19	galperin-2023-covid	started to make the transition from a one-man, owner run business to an actual company
19	galperin-2023-covid	ending the year with 8 employees and 4 contractors
# ch19 — Dutch ground box, employee-versus-contractor distinction (§5b). bw7-2026 registered at ch. 05; reused for different articles per §6b (not a case, no ledger entry needed).
19	bw7-2026	De arbeidsovereenkomst is de overeenkomst waarbij de ene partij, de werknemer, zich verbindt in dienst van de andere partij, de werkgever, tegen loon gedurende zekere tijd arbeid te verrichten.
19	bw7-2026	Hij die ten behoeve van een ander tegen beloning door die ander gedurende drie opeenvolgende maanden, wekelijks dan wel gedurende ten minste twintig uren per maand arbeid verricht, wordt vermoed deze arbeid te verrichten krachtens arbeidsovereenkomst.
# ch20 — Groove / Alex Turnbull, "Firing: How I Do the Hardest Thing as an Entrepreneur" (2015). Case hunt in §6i.
20	groove-fire-2015	turned over nearly 40% of the team we launched with
20	groove-fire-2015	start with a 2-4 week paid trial run where the prospective employee joins the team on a temporary
20	groove-fire-2015	giving direct and honest feedback often, even as often as
# ch20 — Dutch ground box, ending an employment: notice and severance (§5b). bw7-2026 registered at ch. 05; reused here for different articles per §6b (not a case, no ledger entry needed).
20	bw7-2026	De werkgever kan de arbeidsovereenkomst opzeggen indien daar een redelijke grond voor is en herplaatsing van de werknemer binnen een redelijke termijn
20	bw7-2026	hiervan tijdig in kennis heeft gesteld en hem in voldoende mate in de gelegenheid heeft gesteld zijn functioneren te verbeteren
20	bw7-2026	De door de werkgever in acht te nemen termijn van opzegging bedraagt bij een arbeidsovereenkomst die op de dag van opzegging:
20	bw7-2026	korter dan vijf jaar heeft geduurd: één maand
20	bw7-2026	De transitievergoeding is voor elk jaar dat de arbeidsovereenkomst heeft geduurd gelijk aan een derde van het loon per maand
20	bw7-2026	De transitievergoeding bedraagt maximaal € 102.000,00 of een bedrag gelijk aan ten hoogste het loon over twaalf maanden

# ch21 — Groove / Alex Turnbull, "How We've Optimized Remote Team Meetings For Ultimate Efficiency" (2016). Case hunt in §6i.
21	groove-meetings-2016	It made our 9-person 45-minute meetings look amateur in comparison.
21	groove-meetings-2016	nearly 20 people participated and shared updates, and the meeting still took less than 7 minutes.
21	groove-meetings-2016	Lesley owns meetings for our team, and handles scheduling and moderating.
21	groove-meetings-2016	Monday Recap Meeting — 30 Minutes
21	groove-meetings-2016	Tuesday–Thursday Daily Standup — 10 Minutes

# ch22 — ConvertKit / Nathan Barry, "Understanding ConvertKit's open metrics" (2019). Case hunt in §6i.
22	nb-metrics-2019	MRR growth is actually the summary of five metrics: new, expansion, reactivation, contraction, and churn
22	nb-metrics-2019	Revenue churn is the percentage of your revenue base you lost in a month, whereas user churn is the percentage of customers you lost in a month
22	nb-metrics-2019	At ConvertKit we are at 2.2% net revenue churn
22	nb-metrics-2019	At ConvertKit we have a quick ratio of 1.47
22	nb-metrics-2019	Buffer is at $21 per customer and ConvertKit is at $57 per customer
22	nb-metrics-2019	we have 20,812 generating $1,188,580 in MRR
22	nb-metrics-2019	6,994 customers (33% of the total) generating $811,117 in MRR (68% of the total)

# ch23 — WP Curve / Dan Norris, "People, Product and Process — June monthly report" (2014). Case hunt in §6i.
23	wpc-jun-2014	We increased the team to 15 people
23	wpc-jun-2014	In June, our MRR grew by 22% to $23,535
23	wpc-jun-2014	we are hiring every 2 weeks
23	wpc-jun-2014	we had our first staff employed by another team member, instead of me or Alex

# ch24 — no company case found within this task's time box; statutory claims only, for the mandatory Dutch ground box (§5b, §6i). Quote-only per the stricter §6f-style process for this chapter.
24	auteurswet-2026	Indien de arbeid, in dienst van een ander verricht, bestaat in het vervaardigen van bepaalde werken van letterkunde, wetenschap of kunst, dan wordt, tenzij tusschen partijen anders is overeengekomen, als de maker van die werken aangemerkt degene, in wiens dienst de werken zijn vervaardigd.
24	auteurswet-2026	De overeenkomst op grond waarvan het auteursrecht geheel of gedeeltelijk wordt overgedragen of waarin een exclusieve licentie wordt verleend, wordt schriftelijk aangegaan.
24	bw6-2026	Een beding in algemene voorwaarden is vernietigbaar a. indien het, gelet op de aard en de overige inhoud van de overeenkomst, de wijze waarop de voorwaarden zijn tot stand gekomen, de wederzijds kenbare belangen van partijen en de overige omstandigheden van het geval, onredelijk bezwarend is voor de wederpartij; of b. indien de gebruiker aan de wederpartij niet een redelijke mogelijkheid heeft geboden om van de algemene voorwaarden kennis te nemen.
24	bw6-2026	De gebruiker heeft aan de wederpartij de in artikel 233 onder b bedoelde mogelijkheid geboden, indien hij de algemene voorwaarden voor of bij het sluiten van de overeenkomst aan de wederpartij ter hand heeft gesteld

# ch25 — Studio Neat / Gerhardt & Provost, third use of the ch. 03/ch. 09 company, same source, new (never-drawn-on) section and new inference: what patents actually do and do not protect, and what the founders leaned on instead. sn-howto already exists (registered at ch. 03/ch. 09) and is reused here for the "A Word on Patents" section, per §6b. Case hunt in §6i.
25	sn-howto	Patents do nothing to prevent people from stealing your idea.
25	sn-howto	we have realized that patents are basically designed to protect large corporations, and the idea of a small company of two people obtaining a patent is fairly ridiculous. We decided to pass.
25	sn-howto	there have been a few direct imitations that have cropped up, out of Germany and Taiwan.
25	sn-howto	As long as our brand remains strong, we think enough customers will choose the real deal versus the knockoff.

# ch26 — Gymdesk / Eran Galperin, fifth appearance, same document already registered at ch. 19 (galperin-2023-covid) but a different, earlier section — the 2020 COVID shock to the fitness industry, not the 2021-22 hiring paragraphs ch. 19 used — and a new inference: a shock external to the business, not capacity or a legal choice. Case hunt in §6i.
26	galperin-2023-covid	almost all gyms were closed for months
26	galperin-2023-covid	We had significant churn from March to around August.
26	galperin-2023-covid	having grown our MRR by 60% to around $19.5k
26	galperin-2023-covid	having grown our MRR by around x2.5 compared to 2020

# ch27 — Black Hops Brewing / Dan Norris, Michael McGovern & Eddie Oldfield, new company. Named-journalist reporting (Brews News / Matt Kirkegaard) citing an ASIC filing and CSF offer documents, not a founder's own account. Case hunt in §6i.
27	bh-ceo-2023	in hindsight, Black Hops had outgrown him and staying would create confusion
27	bh-ceo-2023	at no point did we think it would get to be what it is today
27	bh-loss-2023	revealed a before-tax loss of $1.8 million
27	bh-loss-2023	raised more than $2.2 million from 996 investors in a day at a valuation of more than $67 million
27	bh-loss-2023	profit of $867,223 for the 2021 financial year

# ch28 — Binpress / Eran Galperin, sixth appearance of the recurring name but a genuinely new, earlier company (2010-2016) — not a return to the Gymdesk ledger entry — plus the mandatory Dutch ground box on winding up (§5b). Case hunt in §6i.
28	eg-binpress-2016	we raised our seed round of almost $1M
28	eg-binpress-2016	getting to $30k in monthly revenue
28	eg-binpress-2016	It was time to move on
28	eg-binpress-2016	Eventually we settled for selling the assets only (site and code-base), while dissolving the company
28	kvk-eenmanszaak-2026	Wij geven je uitschrijving door aan de Belastingdienst.
28	kvk-turboliquidatie-2026	Binnen veertien dagen na het ontbindingsbesluit moet het bestuur verschillende (financiële) documenten indienen bij ons.
28	kvk-turboliquidatie-2026	Als er geen bezittingen zijn op het moment van ontbinding, dan stop je direct met je bedrijf.
19	galperin-2023-covid	had reached $12k in MRR in the middle of 2019
19	galperin-2023-covid	We had significant churn from March to around August
19	galperin-2023-covid	having grown our MRR by 60% to around $19.5k
19	galperin-2023-covid	After a few failed experiments engaging “growth” and advertising agencies, I came to the conclusion that outside consultants and agencies were never going to understand our audience like I did
19	galperin-2023-covid	used to write for us
19	galperin-2023-covid	This was a big decision for me personally – it’s different engaging freelancers for fixed term / cost work, than bringing on someone as a full time employee that you’re now responsible to make sure they are paid every month
19	galperin-2023-covid	We have engaged customer service people through Upwork previously as contractors, and it just wasn’t working out
19	galperin-2023-covid	I still regret not doing this sooner
19	galperin-2023-covid	by around x2.5
19	galperin-2023-covid	passed $1M in ARR in mid 2022
19	galperin-2023-covid	The more people I hire, the more work I need to do every day getting them “unstuck” when they encounter things outside of their comfort zone
19	rijks-schijnzelfstandigheid-2026	De Belastingdienst controleert sinds 1 januari 2025 weer volledig op schijnzelfstandigheid
19	rijks-schijnzelfstandigheid-2026	betaalt de werkgever alsnog loonbelasting, premies werknemersverzekeringen, bijdragen Zorgverzekeringswet en soms pensioenpremies
19	rijks-schijnzelfstandigheid-2026	Bedrijven en zzp’ers zijn samen verantwoordelijk om schijnzelfstandigheid te voorkomen
19	galperin-2023-covid	I contracted a very talented UX designer
19	galperin-2023-covid	were never going to understand our audience like I did
20	groove-fire-2015	In our three years, we’ve only let a handful of employees ago. But still, on a small team, a few employees is a lot.
20	groove-fire-2015	I can confidently say that every single person I’ve hired at Groove has been more than qualified to do the job they were hired for
20	groove-fire-2015	my own hesitance to spot poor fits and wait too long has resulted in
20	groove-fire-2015	Our team taking longer to hit milestones that we should have because we weren’t collaborating as well as we could have. Our growth slowing because unhappy employees weren’t working at optimal productivity. My own productivity dropping because I was preoccupied with trying to force a fit where there was none.
20	groove-fire-2015	a trial is not a guaranteed job, but a paid consulting gig to see if there’s interest from both of us in moving forward
20	groove-fire-2015	This might lock us out of some very talented people who might be excellent fits for Groove. But it’s a non-negotiable for us
20	groove-fire-2015	the end of the trial — where we have to either sign a permanent contract or part ways — acts as a forcing function that makes the difficult conversation inescapable
20	groove-fire-2015	doesn’t get any easier. Not the third time, the fifth time or the tenth time
20	groove-fire-2015	I used to wait until the trial period was over to give feedback. This helped nobody
20	groove-fire-2015	After two weeks, you won’t remember every small thing you said to someone. But if you took notes, you’ll be able to easily spot the trends in your feedback, and separate the true strengths and weaknesses from the anomalies.
20	groove-fire-2015	I trust my team’s (who works much more closely with the new employee) judgment even more than my own
20	groove-fire-2015	I’ve had several people, when I asked them how they felt about their trial, tell me that they didn’t think they were as productive at Groove as they could be elsewhere, or that they simply didn’t think there was a fit
20	bw7-2026	De werkgever kan de arbeidsovereenkomst niet rechtsgeldig opzeggen zonder schriftelijke instemming van de werknemer, tenzij
20	bw7-2026	De proeftijd wordt schriftelijk overeengekomen
20	bw7-2026	een proeftijd worden overeengekomen van ten hoogste twee maanden
20	bw7-2026	is aangegaan voor ten hoogste zes maanden
20	bw7-2026	wordt telkens met ingang van 1 januari
20	bw7-2026	al dan niet met behulp van scholing, in een andere passende functie niet mogelijk is of niet in de rede ligt
21	groove-meetings-2016	Our team is different from your team, and what works for us might be different from what works for you
21	groove-meetings-2016	we scheduled no meetings, and opted only to meet on demand when things arose. To put it bluntly, it simply didn’t work
21	groove-meetings-2016	often started in the form of an instant message saying something like “hey can we chat about this?”, they were the remote equivalent of the tap-on-the-shoulder interruption that destroys so much focus and productivity in office environments
21	groove-meetings-2016	An hour-long meeting can certainly be disruptive
21	groove-meetings-2016	perhaps the biggest mistake we made was trying to schedule non-work activities during the work day
21	groove-meetings-2016	We felt guilty doing these calls because we had work we needed to do
21	groove-meetings-2016	which we had previously only done via Slack posts
21	groove-meetings-2016	scared me a bit
21	groove-meetings-2016	But Kris, our business coach, pushed us to try it
21	groove-meetings-2016	That missing piece is structure
21	groove-meetings-2016	No more than 60 seconds per person, often less
21	groove-meetings-2016	Friday Update — 20 Minutes
21	groove-meetings-2016	after a couple of months of this
21	groove-meetings-2016	our team has never been operating more efficiently
22	nb-metrics-2019	people reading the metrics only on the surface level
22	nb-metrics-2019	the most important metric in the business
22	nb-metrics-2019	all over the map. From as high as $73,000 net new in March to a couple negative months in the summer
22	nb-metrics-2019	Monthly is as granular as you need to go
22	nb-metrics-2019	Because our beginner customers churn more often than our larger customers, user churn at ConvertKit is always higher than revenue churn
22	nb-metrics-2019	It’s both interesting and depressing to see so many new accounts come in each month and be canceled out by so many customers leaving
22	nb-metrics-2019	Quick Ratio = (New MRR + Expansion MRR) / (Churned MRR + Contraction MRR)
22	nb-metrics-2019	1.47, which is fairly low
22	nb-metrics-2019	Buffer at 1.08 and Hubstaff at 1.38
22	nb-metrics-2019	Or put another way, 67% of our customers are generating only 32% of our revenue
22	nb-metrics-2019	as high as $3 million
22	nb-metrics-2019	the contraction from annual plans is now outside the rolling 30 day window
22	nb-metrics-2019	I remember reading an S1 from a company with net negative churn and realizing that they didn’t consider any account canceling in the first 90 days as churn. That’s convenient, no wonder they had negative net churn!
22	nb-metrics-2019	that we are beholden to a few customers
22	nb-metrics-2019	down to 0%
20	bw7-2026	als bedoeld in artikel 671a
20	bw7-2026	op grond van artikel 669, lid 3, onderdeel a of b
20	bw7-2026	verzoekt hiervoor schriftelijk toestemming aan het Uitvoeringsinstituut werknemersverzekeringen
20	bw7-2026	De kantonrechter kan op verzoek van de werkgever de arbeidsovereenkomst ontbinden: a. op grond van artikel 669, lid 3, onderdelen c tot en met i
20	bw7-2026	en de ongeschiktheid niet het gevolg is van onvoldoende zorg van de werkgever voor scholing van de werknemer of voor de arbeidsomstandigheden van de werknemer
20	groove-fire-2015	I should’ve been better at spotting the poor fit before I hired them
23	wpc-jun-2014	24 / 7 unlimited WordPress small fixes for $69 / month
23	wpc-jun-2014	$20,833 / month
23	wpc-jun-2014	up from $19,274 in May
23	wpc-jun-2014	57 net customer increase, just under 2 per day
23	wpc-jun-2014	a 20 page process
23	wpc-jun-2014	so it’s important to have someone other than me looking after this process
23	wpc-jun-2014	still involved at key intervals
23	wpc-jun-2014	90% of the Xero bookkeeping
23	wpc-jun-2014	This has been such a weight of our shoulders that during our weekly chat, we realized that we don’t have a lot to do
23	wpc-jun-2014	4 hour work week, baby!
23	wpc-jun-2014	Unlikely. Even when I’m in a hammock I have my computer handy
23	wpc-jun-2014	This month our Happy % is down from 96% to 82%. This is not what we want
23	wpc-jun-2014	wasn’t quite correct the first time
23	wpc-jun-2014	A4 size requests
23	wpc-jun-2014	Continue growing
23	wpc-jun-2014	Work on client retention
23	wpc-jun-2014	Don’t get bogged down doing everything ourselves
23	wpc-jun-2014	So far we’ve exceeded 15% in 11 out of our 12 months in business
19	galperin-2023-fire	for the first 5 years of the company’s existence, I was doing everything
24	auteurswet-2026	Het auteursrecht is het uitsluitend recht van den maker van een werk van letterkunde, wetenschap of kunst, of van diens rechtverkrijgenden, om dit openbaar te maken en te verveelvoudigen, behoudens de beperkingen, bij de wet gesteld.
24	auteurswet-2026	omvat alleen die bevoegdheden die uitdrukkelijk in de overeenkomst staan vermeld of die uit de aard en de strekking ervan noodzakelijkerwijs voortvloeien
24	bw6-2026	op verzoek van de wederpartij onverwijld op zijn kosten
25	sn-howto	I remember when our first project, the Glif, started to blow up, and I was freaked out we didn’t have a patent on the design
25	sn-howto	make sure you contact an expert rather than relying solely on the advice from two dudes with no legal expertise
25	sn-howto	a black hole that sucks up money and spits out sadness
25	sn-howto	Many people seem to have the misconception that patents are magical things that act like a force field around your product, preventing anyone from ever ripping it off
25	sn-howto	All they do is give you the legal authority to take action if you believe someone is infringing. You would still need to hire a lawyer to take the perp to court.
25	sn-howto	only protects the visual ornamentation of an object, not its function
25	sn-howto	Most patents only protect infringement within the United States
25	sn-howto	There is not much we can do, other than shrug our shoulders and carry on
25	sn-howto	Let’s imagine for a moment we did have a heavy-duty international utility patent. How would that change things? Would we really be willing to sink the time and money into going after them? Our guess is no. We’d rather just spend that time designing more great products.
23	wpc-jun-2014	[Alex: I think Dan will come up with something...]
23	wpc-jun-2014	we are growing so quickly we don’t want to grow faster
23	wpc-jun-2014	another month of data from Hively
26	galperin-2023-covid	The first few months of 2020 were going splendidly – we saw consistent $1k+ MRR growth every month, which we have never experienced before. We had extremely strong trial-to-paid-account conversion rates, at around 40%.
26	galperin-2023-covid	COVID hit the fitness industry hard – almost all gyms were closed for months, and then reopened slowly with very restrictive guidelines for in-person and indoor training.
26	galperin-2023-covid	As a business that services that industry, we were likewise impacted. Users were reaching out to freeze or cancel their accounts.
26	galperin-2023-covid	We kept adapting to the new environment, and added many features to support our users during those times – from booking functionality with capacity restrictions, COVID vaccination checks, online training features and more.
26	galperin-2023-covid	Yet, things were starting to stabilize around June
26	galperin-2023-covid	We ended 2020 on a pretty good pace still, having grown our MRR by 60% to around $19.5k, and maintaining strong conversion rates from trials to paying users.
26	galperin-2023-covid	opening again, or scaling up their operations
26	galperin-2023-covid	We ended 2021 strongly, having grown our MRR by around x2.5 compared to 2020.
26	galperin-2023-covid	I strongly believe our ability to adapt during this period of uncertainty laid the foundation for future success.
24	auteurswet-2026	De overdracht of de verlening van een exclusieve licentie door de maker
24	auteurswet-2026	Het derde lid, tweede volzin, en het vierde lid zijn niet van toepassing op een maker als bedoeld in artikel 7 en 8
24	bw6-2026	die niet beide in Nederland gevestigd zijn
24	bw6-2026	bij haar vijftig of meer personen werkzaam zijn
27	dannorris-site-2026	WP Curve → GoDaddy, Black Hops Brewing
27	bh-ceo-2023	Beer, made by 3 Blokes on the Gold Coast
27	bh-loss-2023	a before-tax profit of $129,000
27	bh-loss-2023	moved from losing money every year, navigated the brewery valley of death and into profitability
27	bh-ceo-2023	Around 6 months ago the founders and our key investors agreed we wanted some experienced management in the business
27	bh-ceo-2023	I led the company because we needed someone to do it but I’ve never done anything like this before and to be honest often felt out of my depth
27	bh-ceo-2023	The advice was always the same – don’t do it unless you are fully prepared to do it. If you want to bring in new leadership, you can’t hang around in the background, it’s confusing to the team and difficult for the new management.
27	bh-ceo-2023	we couldn’t really find a role for me inside Black Hops that made sense
27	bh-ceo-2023	it’s probably just crept up, and then all of a sudden it’s like a lot of founders, ‘now what? I’ve got this quite reasonable size business, and how do we run it?’
27	bh-loss-2023	revenue grew almost 19 per cent to $16 million, while raw materials and consumables grew 38 per cent to $11.9 million. Wages grew 44 per cent to $2.8 million.
27	bh-loss-2023	a significant increase in operating costs across the board and an erosion of profit margins
27	bh-loss-2023	Black Hops as a business did not pass on any increases to our trading partners
27	bh-loss-2023	The business in six years just had one price increase
27	bh-loss-2023	I don’t know if the guys had complete oversight through that [prior] period. The business had grown pretty enormously.
27	bh-loss-2023	the company has not filed annual reports 2019/20 and 2020/21 financial years
27	bh-ceo-2023	our story has been about making great beer
27	bh-ceo-2023	the customers keep drinking the beer because it’s great quality
28	eg-binpress-2016	Over the course of 2 months, we had exactly 10 new users
28	eg-binpress-2016	around $500 in sales
28	eg-binpress-2016	Our revenue stabilized around $3k / month. Then $5k / month. Then $10k / month.
28	eg-binpress-2016	None of those panned out, for various reasons
28	eg-binpress-2016	were not at the positions we needed to really make a difference
28	eg-binpress-2016	Most of the stuff we did had a positive effect, but none had the breakout potential we had hoped. We were stuck in a rot.
28	eg-binpress-2016	The timeline now is Sept. 2014, a little over a year since we raised our seed round.
28	eg-binpress-2016	We had spent a little over half the money we raised, which was a healthy rate, but only when you are growing.
28	eg-binpress-2016	the “Shopify for digital products”
28	eg-binpress-2016	But as time went by, nothing changed.
28	eg-binpress-2016	As the months went by, it was becoming clear we had exhausted every option. We had no more ideas on how to grow the company. We had lost. It took us a while to come to terms with this reality. We didn’t bring it up when we talked – instead, it was always “what more can we do?”. But eventually, we had that talk and faced the music. We had given 5 years of our lives to the company, we had some successes, but we had taken it as far as we could.
28	eg-binpress-2016	Our immediate goals were to return as much as we could to our investors. We tried shopping the company for a while, and while there was significant interest at one point, no one was able to commit
28	eg-binpress-2016	Definitely not the outcome we were looking for.
28	kvk-eenmanszaak-2026	Stop je met je eenmanszaak? Dan moet je deze uitschrijven bij KVK. Dit regel je online met je DigiD. Het uitschrijven is gratis.
28	kvk-eenmanszaak-2026	Een uitschrijving is definitief en heeft gevolgen
28	kvk-eenmanszaak-2026	Tijdelijk uitschrijven kan niet.
28	kvk-eenmanszaak-2026	Blijf je aangiftes doen zolang deze in Mijn Belastingdienst Zakelijk staan.
28	kvk-turboliquidatie-2026	Er mogen geen baten (bezittingen) meer zijn op het moment van ontbinding.
28	kvk-turboliquidatie-2026	Het begrip baten omvat meer dan je misschien zou denken.
28	kvk-turboliquidatie-2026	Daarnaast zijn vorderingen ook baten
